TrainStatus	TrainLatitude	TrainLongitude	TrainCode	TrainDate	PublicMessage	Direction
N	51.9018	-8.4582	D519	23 Feb 2026	D519\nCork to Cobh\nExpected Departure 12:30	To Cobh
N	51.9018	-8.4582	D564	23 Feb 2026	D564\nCork to Midleton\nExpected Departure 12:45	To Midleton
N	53.3531	-6.24591	D915	23 Feb 2026	D915\nDublin Connolly to Maynooth\nExpected Departure 12:45	Northbound
R	0	0	D211	23 Feb 2026	D211\n12:37 - Dublin Heuston to Newbridge (-5 mins late)\nArrived Inchicore Advance Starter next stop Park West and Cherry Orchard	To Newbridge
R	53.1454	-7.06361	D208	23 Feb 2026	D208\n11:20 - Dublin Heuston to Portlaoise (23 mins late)\nArrived Monasterevin next stop Portarlington	To Portlaoise
R	53.2469	-6.66386	D209	23 Feb 2026	D209\n11:37 - Dublin Heuston to Newbridge (20 mins late)\nDeparted Sallins next stop Newbridge	To Newbridge
R	53.3223	-6.52356	D210	23 Feb 2026	D210\n12:15 - Dublin Heuston to Portlaoise (0 mins late)\nArrived Hazelhatch next stop Sallins	To Portlaoise
R	53.347	-6.25425	D409	23 Feb 2026	D409\n12:30 - Grand Canal Dock to Hazelhatch (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Southbound
R	53.3786	-6.19131	D815	23 Feb 2026	D815\n12:19 - Grand Canal Dock to Drogheda (2 mins late)\nDeparted Harmonstown next stop Malahide	To Drogheda
R	53.3816	-6.37149	D914	23 Feb 2026	D914\n12:17 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Castleknock next stop Coolmine	Northbound
R	53.5201	-6.1439	D814	23 Feb 2026	D814\n12:07 - Dublin Connolly to Drogheda (1 mins late)\nArrived Rush and Lusk next stop Skerries	Northbound
T	53.378	-6.58993	D913	23 Feb 2026	D913\n11:50 - Dublin Connolly to Maynooth(0 mins late)\nTERMINATED Maynooth at 12:32	Northbound
T	53.4349	-6.46898	D310	23 Feb 2026	D310\n12:19 - Clonsilla to M3 Parkway(0 mins late)\nTERMINATED M3 Parkway at 12:30	Northbound
T	53.712	-6.33538	D813	23 Feb 2026	D813\n11:19 - Grand Canal Dock to Drogheda(6 mins late)\nTERMINATED Drogheda at 12:30	To Drogheda
T	54.0007	-6.41291	D812	23 Feb 2026	D812\n11:07 - Dublin Connolly to Dundalk(0 mins late)\nTERMINATED Dundalk at 12:30	Northbound
